timestamp,"rule.level","rule.description","data.win.system.message","data.win.eventdata.commandLine","data.win.eventdata.targetObject","full_log","data.win.eventdata.details"
"May 24, 2020 @ 16:28:21.069",14,"ATT&CK T1060: New RUN Key Pointing to Suspicious Folder","""Registry value set:
RuleName: T1060,RunKey
EventType: SetValue
UtcTime: 2020-05-24 16:28:17.402
ProcessGuid: {df9fc3d3-9fd5-5eca-0000-00102b300b00}
ProcessId: 6484
Image: C:\Users\John Williams\AppData\Local\Temp\Trojan.exe
TargetObject: HKU\S-1-5-21-438079597-2123118846-2669748851-1001\Software\Microsoft\Windows\CurrentVersion\Run\5cd8f17f4086744065eb0992a09e05a2
Details: ""C:\Users\John Williams\AppData\Local\Temp\Trojan.exe"" ..""",,"HKU\\S-1-5-21-438079597-2123118846-2669748851-1001\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\5cd8f17f4086744065eb0992a09e05a2","{""win"":{""system"":{""providerName"":""Microsoft-Windows-Sysmon"",""providerGuid"":""{5770385f-c22a-43e0-bf4c-06f5698ffbd9}"",""eventID"":""13"",""version"":""2"",""level"":""4"",""task"":""13"",""opcode"":""0"",""keywords"":""0x8000000000000000"",""systemTime"":""2020-05-24T16:28:17.430124200Z"",""eventRecordID"":""2055"",""processID"":""2176"",""threadID"":""3164"",""channel"":""Microsoft-Windows-Sysmon/Operational"",""computer"":""DESKTOP-HUE026H"",""severityValue"":""INFORMATION"",""message"":""\""Registry value set:\r\nRuleName: T1060,RunKey\r\nEventType: SetValue\r\nUtcTime: 2020-05-24 16:28:17.402\r\nProcessGuid: {df9fc3d3-9fd5-5eca-0000-00102b300b00}\r\nProcessId: 6484\r\nImage: C:\\Users\\John Williams\\AppData\\Local\\Temp\\Trojan.exe\r\nTargetObject: HKU\\S-1-5-21-438079597-2123118846-2669748851-1001\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\5cd8f17f4086744065eb0992a09e05a2\r\nDetails: \""C:\\Users\\John Williams\\AppData\\Local\\Temp\\Trojan.exe\"" ..\""""},""eventdata"":{""ruleName"":""T1060,RunKey"",""eventType"":""SetValue"",""utcTime"":""2020-05-24 16:28:17.402"",""processGuid"":""{df9fc3d3-9fd5-5eca-0000-00102b300b00}"",""processId"":""6484"",""image"":""C:\\\\Users\\\\John Williams\\\\AppData\\\\Local\\\\Temp\\\\Trojan.exe"",""targetObject"":""HKU\\\\S-1-5-21-438079597-2123118846-2669748851-1001\\\\Software\\\\Microsoft\\\\Windows\\\\CurrentVersion\\\\Run\\\\5cd8f17f4086744065eb0992a09e05a2"",""details"":""\\\""C:\\\\Users\\\\John Williams\\\\AppData\\\\Local\\\\Temp\\\\Trojan.exe\\\"" ..""}}}","\""C:\\Users\\John Williams\\AppData\\Local\\Temp\\Trojan.exe\"" .."
"May 24, 2020 @ 16:28:19.753",14,"ATT&CK T1060: New RUN Key Pointing to Suspicious Folder","""Registry value set:
RuleName: T1060,RunKey
EventType: SetValue
UtcTime: 2020-05-24 16:28:16.387
ProcessGuid: {df9fc3d3-9fd5-5eca-0000-00102b300b00}
ProcessId: 6484
Image: C:\Users\John Williams\AppData\Local\Temp\Trojan.exe
TargetObject: HKU\S-1-5-21-438079597-2123118846-2669748851-1001\Software\Microsoft\Windows\CurrentVersion\Run\5cd8f17f4086744065eb0992a09e05a2
Details: ""C:\Users\John Williams\AppData\Local\Temp\Trojan.exe"" ..""",,"HKU\\S-1-5-21-438079597-2123118846-2669748851-1001\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\5cd8f17f4086744065eb0992a09e05a2","{""win"":{""system"":{""providerName"":""Microsoft-Windows-Sysmon"",""providerGuid"":""{5770385f-c22a-43e0-bf4c-06f5698ffbd9}"",""eventID"":""13"",""version"":""2"",""level"":""4"",""task"":""13"",""opcode"":""0"",""keywords"":""0x8000000000000000"",""systemTime"":""2020-05-24T16:28:16.393106800Z"",""eventRecordID"":""2054"",""processID"":""2176"",""threadID"":""3164"",""channel"":""Microsoft-Windows-Sysmon/Operational"",""computer"":""DESKTOP-HUE026H"",""severityValue"":""INFORMATION"",""message"":""\""Registry value set:\r\nRuleName: T1060,RunKey\r\nEventType: SetValue\r\nUtcTime: 2020-05-24 16:28:16.387\r\nProcessGuid: {df9fc3d3-9fd5-5eca-0000-00102b300b00}\r\nProcessId: 6484\r\nImage: C:\\Users\\John Williams\\AppData\\Local\\Temp\\Trojan.exe\r\nTargetObject: HKU\\S-1-5-21-438079597-2123118846-2669748851-1001\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\5cd8f17f4086744065eb0992a09e05a2\r\nDetails: \""C:\\Users\\John Williams\\AppData\\Local\\Temp\\Trojan.exe\"" ..\""""},""eventdata"":{""ruleName"":""T1060,RunKey"",""eventType"":""SetValue"",""utcTime"":""2020-05-24 16:28:16.387"",""processGuid"":""{df9fc3d3-9fd5-5eca-0000-00102b300b00}"",""processId"":""6484"",""image"":""C:\\\\Users\\\\John Williams\\\\AppData\\\\Local\\\\Temp\\\\Trojan.exe"",""targetObject"":""HKU\\\\S-1-5-21-438079597-2123118846-2669748851-1001\\\\Software\\\\Microsoft\\\\Windows\\\\CurrentVersion\\\\Run\\\\5cd8f17f4086744065eb0992a09e05a2"",""details"":""\\\""C:\\\\Users\\\\John Williams\\\\AppData\\\\Local\\\\Temp\\\\Trojan.exe\\\"" ..""}}}","\""C:\\Users\\John Williams\\AppData\\Local\\Temp\\Trojan.exe\"" .."
"May 24, 2020 @ 16:28:18.754",14,"ATT&CK T1060: New RUN Key Pointing to Suspicious Folder","""Registry value set:
RuleName: T1060,RunKey
EventType: SetValue
UtcTime: 2020-05-24 16:28:15.372
ProcessGuid: {df9fc3d3-9fd5-5eca-0000-00102b300b00}
ProcessId: 6484
Image: C:\Users\John Williams\AppData\Local\Temp\Trojan.exe
TargetObject: HKU\S-1-5-21-438079597-2123118846-2669748851-1001\Software\Microsoft\Windows\CurrentVersion\Run\5cd8f17f4086744065eb0992a09e05a2
Details: ""C:\Users\John Williams\AppData\Local\Temp\Trojan.exe"" ..""",,"HKU\\S-1-5-21-438079597-2123118846-2669748851-1001\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\5cd8f17f4086744065eb0992a09e05a2","{""win"":{""system"":{""providerName"":""Microsoft-Windows-Sysmon"",""providerGuid"":""{5770385f-c22a-43e0-bf4c-06f5698ffbd9}"",""eventID"":""13"",""version"":""2"",""level"":""4"",""task"":""13"",""opcode"":""0"",""keywords"":""0x8000000000000000"",""systemTime"":""2020-05-24T16:28:15.377777100Z"",""eventRecordID"":""2053"",""processID"":""2176"",""threadID"":""3164"",""channel"":""Microsoft-Windows-Sysmon/Operational"",""computer"":""DESKTOP-HUE026H"",""severityValue"":""INFORMATION"",""message"":""\""Registry value set:\r\nRuleName: T1060,RunKey\r\nEventType: SetValue\r\nUtcTime: 2020-05-24 16:28:15.372\r\nProcessGuid: {df9fc3d3-9fd5-5eca-0000-00102b300b00}\r\nProcessId: 6484\r\nImage: C:\\Users\\John Williams\\AppData\\Local\\Temp\\Trojan.exe\r\nTargetObject: HKU\\S-1-5-21-438079597-2123118846-2669748851-1001\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\5cd8f17f4086744065eb0992a09e05a2\r\nDetails: \""C:\\Users\\John Williams\\AppData\\Local\\Temp\\Trojan.exe\"" ..\""""},""eventdata"":{""ruleName"":""T1060,RunKey"",""eventType"":""SetValue"",""utcTime"":""2020-05-24 16:28:15.372"",""processGuid"":""{df9fc3d3-9fd5-5eca-0000-00102b300b00}"",""processId"":""6484"",""image"":""C:\\\\Users\\\\John Williams\\\\AppData\\\\Local\\\\Temp\\\\Trojan.exe"",""targetObject"":""HKU\\\\S-1-5-21-438079597-2123118846-2669748851-1001\\\\Software\\\\Microsoft\\\\Windows\\\\CurrentVersion\\\\Run\\\\5cd8f17f4086744065eb0992a09e05a2"",""details"":""\\\""C:\\\\Users\\\\John Williams\\\\AppData\\\\Local\\\\Temp\\\\Trojan.exe\\\"" ..""}}}","\""C:\\Users\\John Williams\\AppData\\Local\\Temp\\Trojan.exe\"" .."
"May 24, 2020 @ 16:28:17.723",14,"ATT&CK T1060: New RUN Key Pointing to Suspicious Folder","""Registry value set:
RuleName: T1060,RunKey
EventType: SetValue
UtcTime: 2020-05-24 16:28:14.355
ProcessGuid: {df9fc3d3-9fd5-5eca-0000-00102b300b00}
ProcessId: 6484
Image: C:\Users\John Williams\AppData\Local\Temp\Trojan.exe
TargetObject: HKU\S-1-5-21-438079597-2123118846-2669748851-1001\Software\Microsoft\Windows\CurrentVersion\Run\5cd8f17f4086744065eb0992a09e05a2
Details: ""C:\Users\John Williams\AppData\Local\Temp\Trojan.exe"" ..""",,"HKU\\S-1-5-21-438079597-2123118846-2669748851-1001\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\5cd8f17f4086744065eb0992a09e05a2","{""win"":{""system"":{""providerName"":""Microsoft-Windows-Sysmon"",""providerGuid"":""{5770385f-c22a-43e0-bf4c-06f5698ffbd9}"",""eventID"":""13"",""version"":""2"",""level"":""4"",""task"":""13"",""opcode"":""0"",""keywords"":""0x8000000000000000"",""systemTime"":""2020-05-24T16:28:14.370952600Z"",""eventRecordID"":""2052"",""processID"":""2176"",""threadID"":""3164"",""channel"":""Microsoft-Windows-Sysmon/Operational"",""computer"":""DESKTOP-HUE026H"",""severityValue"":""INFORMATION"",""message"":""\""Registry value set:\r\nRuleName: T1060,RunKey\r\nEventType: SetValue\r\nUtcTime: 2020-05-24 16:28:14.355\r\nProcessGuid: {df9fc3d3-9fd5-5eca-0000-00102b300b00}\r\nProcessId: 6484\r\nImage: C:\\Users\\John Williams\\AppData\\Local\\Temp\\Trojan.exe\r\nTargetObject: HKU\\S-1-5-21-438079597-2123118846-2669748851-1001\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\5cd8f17f4086744065eb0992a09e05a2\r\nDetails: \""C:\\Users\\John Williams\\AppData\\Local\\Temp\\Trojan.exe\"" ..\""""},""eventdata"":{""ruleName"":""T1060,RunKey"",""eventType"":""SetValue"",""utcTime"":""2020-05-24 16:28:14.355"",""processGuid"":""{df9fc3d3-9fd5-5eca-0000-00102b300b00}"",""processId"":""6484"",""image"":""C:\\\\Users\\\\John Williams\\\\AppData\\\\Local\\\\Temp\\\\Trojan.exe"",""targetObject"":""HKU\\\\S-1-5-21-438079597-2123118846-2669748851-1001\\\\Software\\\\Microsoft\\\\Windows\\\\CurrentVersion\\\\Run\\\\5cd8f17f4086744065eb0992a09e05a2"",""details"":""\\\""C:\\\\Users\\\\John Williams\\\\AppData\\\\Local\\\\Temp\\\\Trojan.exe\\\"" ..""}}}","\""C:\\Users\\John Williams\\AppData\\Local\\Temp\\Trojan.exe\"" .."
"May 24, 2020 @ 16:28:16.771",14,"ATT&CK T1060: New RUN Key Pointing to Suspicious Folder","""Registry value set:
RuleName: T1060,RunKey
EventType: SetValue
UtcTime: 2020-05-24 16:28:13.326
ProcessGuid: {df9fc3d3-9fd5-5eca-0000-00102b300b00}
ProcessId: 6484
Image: C:\Users\John Williams\AppData\Local\Temp\Trojan.exe
TargetObject: HKU\S-1-5-21-438079597-2123118846-2669748851-1001\Software\Microsoft\Windows\CurrentVersion\Run\5cd8f17f4086744065eb0992a09e05a2
Details: ""C:\Users\John Williams\AppData\Local\Temp\Trojan.exe"" ..""",,"HKU\\S-1-5-21-438079597-2123118846-2669748851-1001\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\5cd8f17f4086744065eb0992a09e05a2","{""win"":{""system"":{""providerName"":""Microsoft-Windows-Sysmon"",""providerGuid"":""{5770385f-c22a-43e0-bf4c-06f5698ffbd9}"",""eventID"":""13"",""version"":""2"",""level"":""4"",""task"":""13"",""opcode"":""0"",""keywords"":""0x8000000000000000"",""systemTime"":""2020-05-24T16:28:13.333494600Z"",""eventRecordID"":""2051"",""processID"":""2176"",""threadID"":""3164"",""channel"":""Microsoft-Windows-Sysmon/Operational"",""computer"":""DESKTOP-HUE026H"",""severityValue"":""INFORMATION"",""message"":""\""Registry value set:\r\nRuleName: T1060,RunKey\r\nEventType: SetValue\r\nUtcTime: 2020-05-24 16:28:13.326\r\nProcessGuid: {df9fc3d3-9fd5-5eca-0000-00102b300b00}\r\nProcessId: 6484\r\nImage: C:\\Users\\John Williams\\AppData\\Local\\Temp\\Trojan.exe\r\nTargetObject: HKU\\S-1-5-21-438079597-2123118846-2669748851-1001\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\5cd8f17f4086744065eb0992a09e05a2\r\nDetails: \""C:\\Users\\John Williams\\AppData\\Local\\Temp\\Trojan.exe\"" ..\""""},""eventdata"":{""ruleName"":""T1060,RunKey"",""eventType"":""SetValue"",""utcTime"":""2020-05-24 16:28:13.326"",""processGuid"":""{df9fc3d3-9fd5-5eca-0000-00102b300b00}"",""processId"":""6484"",""image"":""C:\\\\Users\\\\John Williams\\\\AppData\\\\Local\\\\Temp\\\\Trojan.exe"",""targetObject"":""HKU\\\\S-1-5-21-438079597-2123118846-2669748851-1001\\\\Software\\\\Microsoft\\\\Windows\\\\CurrentVersion\\\\Run\\\\5cd8f17f4086744065eb0992a09e05a2"",""details"":""\\\""C:\\\\Users\\\\John Williams\\\\AppData\\\\Local\\\\Temp\\\\Trojan.exe\\\"" ..""}}}","\""C:\\Users\\John Williams\\AppData\\Local\\Temp\\Trojan.exe\"" .."
"May 24, 2020 @ 16:28:15.726",14,"ATT&CK T1060: New RUN Key Pointing to Suspicious Folder","""Registry value set:
RuleName: T1060,RunKey
EventType: SetValue
UtcTime: 2020-05-24 16:28:12.293
ProcessGuid: {df9fc3d3-9fd5-5eca-0000-00102b300b00}
ProcessId: 6484
Image: C:\Users\John Williams\AppData\Local\Temp\Trojan.exe
TargetObject: HKU\S-1-5-21-438079597-2123118846-2669748851-1001\Software\Microsoft\Windows\CurrentVersion\Run\5cd8f17f4086744065eb0992a09e05a2
Details: ""C:\Users\John Williams\AppData\Local\Temp\Trojan.exe"" ..""",,"HKU\\S-1-5-21-438079597-2123118846-2669748851-1001\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\5cd8f17f4086744065eb0992a09e05a2","{""win"":{""system"":{""providerName"":""Microsoft-Windows-Sysmon"",""providerGuid"":""{5770385f-c22a-43e0-bf4c-06f5698ffbd9}"",""eventID"":""13"",""version"":""2"",""level"":""4"",""task"":""13"",""opcode"":""0"",""keywords"":""0x8000000000000000"",""systemTime"":""2020-05-24T16:28:12.305943800Z"",""eventRecordID"":""2050"",""processID"":""2176"",""threadID"":""3164"",""channel"":""Microsoft-Windows-Sysmon/Operational"",""computer"":""DESKTOP-HUE026H"",""severityValue"":""INFORMATION"",""message"":""\""Registry value set:\r\nRuleName: T1060,RunKey\r\nEventType: SetValue\r\nUtcTime: 2020-05-24 16:28:12.293\r\nProcessGuid: {df9fc3d3-9fd5-5eca-0000-00102b300b00}\r\nProcessId: 6484\r\nImage: C:\\Users\\John Williams\\AppData\\Local\\Temp\\Trojan.exe\r\nTargetObject: HKU\\S-1-5-21-438079597-2123118846-2669748851-1001\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\5cd8f17f4086744065eb0992a09e05a2\r\nDetails: \""C:\\Users\\John Williams\\AppData\\Local\\Temp\\Trojan.exe\"" ..\""""},""eventdata"":{""ruleName"":""T1060,RunKey"",""eventType"":""SetValue"",""utcTime"":""2020-05-24 16:28:12.293"",""processGuid"":""{df9fc3d3-9fd5-5eca-0000-00102b300b00}"",""processId"":""6484"",""image"":""C:\\\\Users\\\\John Williams\\\\AppData\\\\Local\\\\Temp\\\\Trojan.exe"",""targetObject"":""HKU\\\\S-1-5-21-438079597-2123118846-2669748851-1001\\\\Software\\\\Microsoft\\\\Windows\\\\CurrentVersion\\\\Run\\\\5cd8f17f4086744065eb0992a09e05a2"",""details"":""\\\""C:\\\\Users\\\\John Williams\\\\AppData\\\\Local\\\\Temp\\\\Trojan.exe\\\"" ..""}}}","\""C:\\Users\\John Williams\\AppData\\Local\\Temp\\Trojan.exe\"" .."
"May 24, 2020 @ 16:28:14.676",14,"ATT&CK T1060: New RUN Key Pointing to Suspicious Folder","""Registry value set:
RuleName: T1060,RunKey
EventType: SetValue
UtcTime: 2020-05-24 16:28:11.277
ProcessGuid: {df9fc3d3-9fd5-5eca-0000-00102b300b00}
ProcessId: 6484
Image: C:\Users\John Williams\AppData\Local\Temp\Trojan.exe
TargetObject: HKU\S-1-5-21-438079597-2123118846-2669748851-1001\Software\Microsoft\Windows\CurrentVersion\Run\5cd8f17f4086744065eb0992a09e05a2
Details: ""C:\Users\John Williams\AppData\Local\Temp\Trojan.exe"" ..""",,"HKU\\S-1-5-21-438079597-2123118846-2669748851-1001\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\5cd8f17f4086744065eb0992a09e05a2","{""win"":{""system"":{""providerName"":""Microsoft-Windows-Sysmon"",""providerGuid"":""{5770385f-c22a-43e0-bf4c-06f5698ffbd9}"",""eventID"":""13"",""version"":""2"",""level"":""4"",""task"":""13"",""opcode"":""0"",""keywords"":""0x8000000000000000"",""systemTime"":""2020-05-24T16:28:11.292349100Z"",""eventRecordID"":""2049"",""processID"":""2176"",""threadID"":""3164"",""channel"":""Microsoft-Windows-Sysmon/Operational"",""computer"":""DESKTOP-HUE026H"",""severityValue"":""INFORMATION"",""message"":""\""Registry value set:\r\nRuleName: T1060,RunKey\r\nEventType: SetValue\r\nUtcTime: 2020-05-24 16:28:11.277\r\nProcessGuid: {df9fc3d3-9fd5-5eca-0000-00102b300b00}\r\nProcessId: 6484\r\nImage: C:\\Users\\John Williams\\AppData\\Local\\Temp\\Trojan.exe\r\nTargetObject: HKU\\S-1-5-21-438079597-2123118846-2669748851-1001\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\5cd8f17f4086744065eb0992a09e05a2\r\nDetails: \""C:\\Users\\John Williams\\AppData\\Local\\Temp\\Trojan.exe\"" ..\""""},""eventdata"":{""ruleName"":""T1060,RunKey"",""eventType"":""SetValue"",""utcTime"":""2020-05-24 16:28:11.277"",""processGuid"":""{df9fc3d3-9fd5-5eca-0000-00102b300b00}"",""processId"":""6484"",""image"":""C:\\\\Users\\\\John Williams\\\\AppData\\\\Local\\\\Temp\\\\Trojan.exe"",""targetObject"":""HKU\\\\S-1-5-21-438079597-2123118846-2669748851-1001\\\\Software\\\\Microsoft\\\\Windows\\\\CurrentVersion\\\\Run\\\\5cd8f17f4086744065eb0992a09e05a2"",""details"":""\\\""C:\\\\Users\\\\John Williams\\\\AppData\\\\Local\\\\Temp\\\\Trojan.exe\\\"" ..""}}}","\""C:\\Users\\John Williams\\AppData\\Local\\Temp\\Trojan.exe\"" .."
"May 24, 2020 @ 16:28:13.704",14,"ATT&CK T1060: New RUN Key Pointing to Suspicious Folder","""Registry value set:
RuleName: T1060,RunKey
EventType: SetValue
UtcTime: 2020-05-24 16:28:10.261
ProcessGuid: {df9fc3d3-9fd5-5eca-0000-00102b300b00}
ProcessId: 6484
Image: C:\Users\John Williams\AppData\Local\Temp\Trojan.exe
TargetObject: HKU\S-1-5-21-438079597-2123118846-2669748851-1001\Software\Microsoft\Windows\CurrentVersion\Run\5cd8f17f4086744065eb0992a09e05a2
Details: ""C:\Users\John Williams\AppData\Local\Temp\Trojan.exe"" ..""",,"HKU\\S-1-5-21-438079597-2123118846-2669748851-1001\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\5cd8f17f4086744065eb0992a09e05a2","{""win"":{""system"":{""providerName"":""Microsoft-Windows-Sysmon"",""providerGuid"":""{5770385f-c22a-43e0-bf4c-06f5698ffbd9}"",""eventID"":""13"",""version"":""2"",""level"":""4"",""task"":""13"",""opcode"":""0"",""keywords"":""0x8000000000000000"",""systemTime"":""2020-05-24T16:28:10.277974500Z"",""eventRecordID"":""2048"",""processID"":""2176"",""threadID"":""3164"",""channel"":""Microsoft-Windows-Sysmon/Operational"",""computer"":""DESKTOP-HUE026H"",""severityValue"":""INFORMATION"",""message"":""\""Registry value set:\r\nRuleName: T1060,RunKey\r\nEventType: SetValue\r\nUtcTime: 2020-05-24 16:28:10.261\r\nProcessGuid: {df9fc3d3-9fd5-5eca-0000-00102b300b00}\r\nProcessId: 6484\r\nImage: C:\\Users\\John Williams\\AppData\\Local\\Temp\\Trojan.exe\r\nTargetObject: HKU\\S-1-5-21-438079597-2123118846-2669748851-1001\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\5cd8f17f4086744065eb0992a09e05a2\r\nDetails: \""C:\\Users\\John Williams\\AppData\\Local\\Temp\\Trojan.exe\"" ..\""""},""eventdata"":{""ruleName"":""T1060,RunKey"",""eventType"":""SetValue"",""utcTime"":""2020-05-24 16:28:10.261"",""processGuid"":""{df9fc3d3-9fd5-5eca-0000-00102b300b00}"",""processId"":""6484"",""image"":""C:\\\\Users\\\\John Williams\\\\AppData\\\\Local\\\\Temp\\\\Trojan.exe"",""targetObject"":""HKU\\\\S-1-5-21-438079597-2123118846-2669748851-1001\\\\Software\\\\Microsoft\\\\Windows\\\\CurrentVersion\\\\Run\\\\5cd8f17f4086744065eb0992a09e05a2"",""details"":""\\\""C:\\\\Users\\\\John Williams\\\\AppData\\\\Local\\\\Temp\\\\Trojan.exe\\\"" ..""}}}","\""C:\\Users\\John Williams\\AppData\\Local\\Temp\\Trojan.exe\"" .."
"May 24, 2020 @ 16:28:11.622",14,"ATT&CK T1060: New RUN Key Pointing to Suspicious Folder","""Registry value set:
RuleName: T1060,RunKey
EventType: SetValue
UtcTime: 2020-05-24 16:28:09.215
ProcessGuid: {df9fc3d3-9fd5-5eca-0000-00102b300b00}
ProcessId: 6484
Image: C:\Users\John Williams\AppData\Local\Temp\Trojan.exe
TargetObject: HKU\S-1-5-21-438079597-2123118846-2669748851-1001\Software\Microsoft\Windows\CurrentVersion\Run\5cd8f17f4086744065eb0992a09e05a2
Details: ""C:\Users\John Williams\AppData\Local\Temp\Trojan.exe"" ..""",,"HKU\\S-1-5-21-438079597-2123118846-2669748851-1001\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\5cd8f17f4086744065eb0992a09e05a2","{""win"":{""system"":{""providerName"":""Microsoft-Windows-Sysmon"",""providerGuid"":""{5770385f-c22a-43e0-bf4c-06f5698ffbd9}"",""eventID"":""13"",""version"":""2"",""level"":""4"",""task"":""13"",""opcode"":""0"",""keywords"":""0x8000000000000000"",""systemTime"":""2020-05-24T16:28:09.230706600Z"",""eventRecordID"":""2047"",""processID"":""2176"",""threadID"":""3164"",""channel"":""Microsoft-Windows-Sysmon/Operational"",""computer"":""DESKTOP-HUE026H"",""severityValue"":""INFORMATION"",""message"":""\""Registry value set:\r\nRuleName: T1060,RunKey\r\nEventType: SetValue\r\nUtcTime: 2020-05-24 16:28:09.215\r\nProcessGuid: {df9fc3d3-9fd5-5eca-0000-00102b300b00}\r\nProcessId: 6484\r\nImage: C:\\Users\\John Williams\\AppData\\Local\\Temp\\Trojan.exe\r\nTargetObject: HKU\\S-1-5-21-438079597-2123118846-2669748851-1001\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\5cd8f17f4086744065eb0992a09e05a2\r\nDetails: \""C:\\Users\\John Williams\\AppData\\Local\\Temp\\Trojan.exe\"" ..\""""},""eventdata"":{""ruleName"":""T1060,RunKey"",""eventType"":""SetValue"",""utcTime"":""2020-05-24 16:28:09.215"",""processGuid"":""{df9fc3d3-9fd5-5eca-0000-00102b300b00}"",""processId"":""6484"",""image"":""C:\\\\Users\\\\John Williams\\\\AppData\\\\Local\\\\Temp\\\\Trojan.exe"",""targetObject"":""HKU\\\\S-1-5-21-438079597-2123118846-2669748851-1001\\\\Software\\\\Microsoft\\\\Windows\\\\CurrentVersion\\\\Run\\\\5cd8f17f4086744065eb0992a09e05a2"",""details"":""\\\""C:\\\\Users\\\\John Williams\\\\AppData\\\\Local\\\\Temp\\\\Trojan.exe\\\"" ..""}}}","\""C:\\Users\\John Williams\\AppData\\Local\\Temp\\Trojan.exe\"" .."
"May 24, 2020 @ 16:28:11.599",14,"ATT&CK T1060: New RUN Key Pointing to Suspicious Folder","""Registry value set:
RuleName: T1060,RunKey
EventType: SetValue
UtcTime: 2020-05-24 16:28:08.199
ProcessGuid: {df9fc3d3-9fd5-5eca-0000-00102b300b00}
ProcessId: 6484
Image: C:\Users\John Williams\AppData\Local\Temp\Trojan.exe
TargetObject: HKU\S-1-5-21-438079597-2123118846-2669748851-1001\Software\Microsoft\Windows\CurrentVersion\Run\5cd8f17f4086744065eb0992a09e05a2
Details: ""C:\Users\John Williams\AppData\Local\Temp\Trojan.exe"" ..""",,"HKU\\S-1-5-21-438079597-2123118846-2669748851-1001\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\5cd8f17f4086744065eb0992a09e05a2","{""win"":{""system"":{""providerName"":""Microsoft-Windows-Sysmon"",""providerGuid"":""{5770385f-c22a-43e0-bf4c-06f5698ffbd9}"",""eventID"":""13"",""version"":""2"",""level"":""4"",""task"":""13"",""opcode"":""0"",""keywords"":""0x8000000000000000"",""systemTime"":""2020-05-24T16:28:08.216579000Z"",""eventRecordID"":""2046"",""processID"":""2176"",""threadID"":""3164"",""channel"":""Microsoft-Windows-Sysmon/Operational"",""computer"":""DESKTOP-HUE026H"",""severityValue"":""INFORMATION"",""message"":""\""Registry value set:\r\nRuleName: T1060,RunKey\r\nEventType: SetValue\r\nUtcTime: 2020-05-24 16:28:08.199\r\nProcessGuid: {df9fc3d3-9fd5-5eca-0000-00102b300b00}\r\nProcessId: 6484\r\nImage: C:\\Users\\John Williams\\AppData\\Local\\Temp\\Trojan.exe\r\nTargetObject: HKU\\S-1-5-21-438079597-2123118846-2669748851-1001\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\5cd8f17f4086744065eb0992a09e05a2\r\nDetails: \""C:\\Users\\John Williams\\AppData\\Local\\Temp\\Trojan.exe\"" ..\""""},""eventdata"":{""ruleName"":""T1060,RunKey"",""eventType"":""SetValue"",""utcTime"":""2020-05-24 16:28:08.199"",""processGuid"":""{df9fc3d3-9fd5-5eca-0000-00102b300b00}"",""processId"":""6484"",""image"":""C:\\\\Users\\\\John Williams\\\\AppData\\\\Local\\\\Temp\\\\Trojan.exe"",""targetObject"":""HKU\\\\S-1-5-21-438079597-2123118846-2669748851-1001\\\\Software\\\\Microsoft\\\\Windows\\\\CurrentVersion\\\\Run\\\\5cd8f17f4086744065eb0992a09e05a2"",""details"":""\\\""C:\\\\Users\\\\John Williams\\\\AppData\\\\Local\\\\Temp\\\\Trojan.exe\\\"" ..""}}}","\""C:\\Users\\John Williams\\AppData\\Local\\Temp\\Trojan.exe\"" .."
