timestamp,"rule.level","rule.description","data.win.system.message","data.win.eventdata.commandLine","data.win.eventdata.targetObject","full_log","data.win.eventdata.details"
"May 30, 2020 @ 15:36:32.956",7,"Agent event queue is 90% full.",,,,"wazuh: Agent buffer: '90%'.",
"May 30, 2020 @ 15:30:06.718",7,"Integrity checksum changed.",,,,"File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Active Setup\Installed Components\{8A69D345-D564-463c-AFF1-A69D9E530F96}' checksum changed.
Old md5sum was: '7fa7290c3b0e7b2d8ed5a092299db356'
New md5sum is : '7b0e21ee99623454e8d06871f064ed98'
Old sha1sum was: '27735fff26a4f9093576dfbd77d06599094d3497'
New sha1sum is : 'f63735bbc2e72216030f4e994b7c9785856a9170'
",
"May 30, 2020 @ 15:27:37.236",7,"Integrity checksum changed.",,,,"File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Active Setup\Installed Components\{8A69D345-D564-463c-AFF1-A69D9E530F96}' checksum changed.
Old md5sum was: '7b0e21ee99623454e8d06871f064ed98'
New md5sum is : '7fa7290c3b0e7b2d8ed5a092299db356'
Old sha1sum was: 'f63735bbc2e72216030f4e994b7c9785856a9170'
New sha1sum is : '27735fff26a4f9093576dfbd77d06599094d3497'
",
"May 30, 2020 @ 15:27:36.227",7,"Integrity checksum changed.",,,,"File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon' checksum changed.
Old md5sum was: '683769ad6be42008bb88e21c615ecf9d'
New md5sum is : 'd2abb0e472c53cbf65d10a1f2d09aa79'
Old sha1sum was: '02d42d90e46269b3dcd90d96a22e0b3108d640cc'
New sha1sum is : '940d447005e78e8bd3cb6f655847dc7810917403'
",
"May 30, 2020 @ 15:27:36.208",7,"Integrity checksum changed.",,,,"File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\VolatileUserMgrKey\1\S-1-5-21-438079597-2123118846-2669748851-1001' checksum changed.
Old md5sum was: '541ce0443f4bb6794b91fc8110978c38'
New md5sum is : 'e064d552ab7f45ac175a32c6fadfae16'
Old sha1sum was: '2922dab3a710730ef91616e78115b57f4ec74d4c'
New sha1sum is : '14398c675c8587716a103632fb0302df5f37982d'
",
"May 30, 2020 @ 15:27:33.501",7,"Integrity checksum changed.",,,,"File 'HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Run' checksum changed.
Old md5sum was: 'c6d5c466fdaab5a7ef4e81d9e5ef90d2'
New md5sum is : '6491bfbb48f449e8ef2da21bf4925908'
Old sha1sum was: '83bc06dcc92dc45d0223a09e27bb587b1d15d31a'
New sha1sum is : 'a659aa851c1408487eefa829ad359673b7fb1288'
",
"May 30, 2020 @ 15:27:31.251",7,"Integrity checksum changed.",,,,"File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_USE_WINDOWEDSELECTCONTROL' checksum changed.
Old md5sum was: '370914f65a755a1cbfcf0c873b11feaa'
New md5sum is : '1c729912f87f9abbd1574176fc5996f7'
Old sha1sum was: 'ea4c2f8e1a1dc5de73a98dbadb5abff9297c9a4b'
New sha1sum is : '1d2094dc263dc3db258f4421536e179cfbd9cfb0'
",
"May 30, 2020 @ 15:26:26.673",7,"Integrity checksum changed.",,,,"File 'HKEY_LOCAL_MACHINE\Security\Policy\Accounts\S-1-5-32-544\Privilgs' checksum changed.
Old md5sum was: 'd2f6f5287a67de5a6a80b2063114c5df'
New md5sum is : 'c14025399795b5c4c7d63168d80274be'
Old sha1sum was: '379cd91990d35c23614e38e9359ba7a6e0774579'
New sha1sum is : '89edceaacf73401446f242269871abebc5f677ca'
",
"May 30, 2020 @ 15:26:24.267",14,"ATT&CK T1036: Suspicious Svchost Process","""Process Create:
RuleName: 
UtcTime: 2020-05-30 15:26:21.034
ProcessGuid: {df9fc3d3-7b1d-5ed2-0000-0010281f0900}
ProcessId: 5224
Image: C:\Windows\SysWOW64\svchost.exe
FileVersion: 10.0.18362.1 (WinBuild.160101.0800)
Description: Host Process for Windows Services
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: svchost.exe
CommandLine: svchost.exe
CurrentDirectory: C:\Windows\system32\
User: DESKTOP-HUE026H\John Williams
LogonGuid: {df9fc3d3-7b04-5ed2-0000-0020576e0300}
LogonId: 0x36E57
TerminalSessionId: 1
IntegrityLevel: Medium
Hashes: MD5=A7296C1245EE76768D581C6330DADE06,SHA256=5BE0DE7F915BA819D4BA048DB7A2A87F6F3253FDD4865DC418181A0D6A031CAA,IMPHASH=EC10F5BE711CB724C2D4D18A3C10AD6D
ParentProcessGuid: {df9fc3d3-7b1b-5ed2-0000-00106dfa0800}
ParentProcessId: 3996
ParentImage: C:\Users\John Williams\ccdojkiq.exe
ParentCommandLine: ""C:\Users\John Williams\ccdojkiq.exe"" ""","svchost.exe",,"{""win"":{""system"":{""providerName"":""Microsoft-Windows-Sysmon"",""providerGuid"":""{5770385f-c22a-43e0-bf4c-06f5698ffbd9}"",""eventID"":""1"",""version"":""5"",""level"":""4"",""task"":""1"",""opcode"":""0"",""keywords"":""0x8000000000000000"",""systemTime"":""2020-05-30T15:26:21.042385000Z"",""eventRecordID"":""2428"",""processID"":""2148"",""threadID"":""3124"",""channel"":""Microsoft-Windows-Sysmon/Operational"",""computer"":""DESKTOP-HUE026H"",""severityValue"":""INFORMATION"",""message"":""\""Process Create:\r\nRuleName: \r\nUtcTime: 2020-05-30 15:26:21.034\r\nProcessGuid: {df9fc3d3-7b1d-5ed2-0000-0010281f0900}\r\nProcessId: 5224\r\nImage: C:\\Windows\\SysWOW64\\svchost.exe\r\nFileVersion: 10.0.18362.1 (WinBuild.160101.0800)\r\nDescription: Host Process for Windows Services\r\nProduct: Microsoft® Windows® Operating System\r\nCompany: Microsoft Corporation\r\nOriginalFileName: svchost.exe\r\nCommandLine: svchost.exe\r\nCurrentDirectory: C:\\Windows\\system32\\\r\nUser: DESKTOP-HUE026H\\John Williams\r\nLogonGuid: {df9fc3d3-7b04-5ed2-0000-0020576e0300}\r\nLogonId: 0x36E57\r\nTerminalSessionId: 1\r\nIntegrityLevel: Medium\r\nHashes: MD5=A7296C1245EE76768D581C6330DADE06,SHA256=5BE0DE7F915BA819D4BA048DB7A2A87F6F3253FDD4865DC418181A0D6A031CAA,IMPHASH=EC10F5BE711CB724C2D4D18A3C10AD6D\r\nParentProcessGuid: {df9fc3d3-7b1b-5ed2-0000-00106dfa0800}\r\nParentProcessId: 3996\r\nParentImage: C:\\Users\\John Williams\\ccdojkiq.exe\r\nParentCommandLine: \""C:\\Users\\John Williams\\ccdojkiq.exe\"" \""""},""eventdata"":{""utcTime"":""2020-05-30 15:26:21.034"",""processGuid"":""{df9fc3d3-7b1d-5ed2-0000-0010281f0900}"",""processId"":""5224"",""image"":""C:\\\\Windows\\\\SysWOW64\\\\svchost.exe"",""fileVersion"":""10.0.18362.1 (WinBuild.160101.0800)"",""description"":""Host Process for Windows Services"",""product"":""Microsoft® Windows® Operating System"",""company"":""Microsoft Corporation"",""originalFileName"":""svchost.exe"",""commandLine"":""svchost.exe"",""currentDirectory"":""C:\\\\Windows\\\\system32\\\\"",""user"":""DESKTOP-HUE026H\\\\John Williams"",""logonGuid"":""{df9fc3d3-7b04-5ed2-0000-0020576e0300}"",""logonId"":""0x36e57"",""terminalSessionId"":""1"",""integrityLevel"":""Medium"",""hashes"":""MD5=A7296C1245EE76768D581C6330DADE06,SHA256=5BE0DE7F915BA819D4BA048DB7A2A87F6F3253FDD4865DC418181A0D6A031CAA,IMPHASH=EC10F5BE711CB724C2D4D18A3C10AD6D"",""parentProcessGuid"":""{df9fc3d3-7b1b-5ed2-0000-00106dfa0800}"",""parentProcessId"":""3996"",""parentImage"":""C:\\\\Users\\\\John Williams\\\\ccdojkiq.exe"",""parentCommandLine"":""\\\""C:\\\\Users\\\\John Williams\\\\ccdojkiq.exe\\\""""}}}",
"May 30, 2020 @ 15:26:08.406",9,"Benchmark for Windows audit: Ensure 'MSS: (AutoAdminLogon) Enable Automatic Logon (not recommended)' is set to 'Disabled': Status changed from 'not applicable' to failed",,,,,
