timestamp,"rule.level","rule.description","data.win.system.message","data.win.eventdata.commandLine","full_log"
"May 23, 2020 @ 14:01:55.865",10,"Multiple Windows error events","""Id = {00000000-0000-0000-0000-000000000000}; ClientMachine = DESKTOP-HUE026H; User = NT AUTHORITY\SYSTEM; ClientProcessId = 4968; Component = Unknown; Operation = Start IWbemServices::ExecQuery - root\Microsoft\Windows\DeviceGuard : SELECT RequiredSecurityProperties FROM Win32_DeviceGuard ; ResultCode = 0x80041032; PossibleCause = Unknown""",,
"May 23, 2020 @ 14:00:34.411",7,"Integrity checksum changed.",,,"File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon' checksum changed.
Old md5sum was: '496e80acc19637c8daf8c286b6ea10f0'
New md5sum is : 'c15d2e9c96671b8872cf0d2a57fec081'
Old sha1sum was: '88ef9e17f6f18f6242bf8a46b383b017d42012b9'
New sha1sum is : 'b2af176be91669f2eb3bf9b19bc132d2a738d137'
"
"May 23, 2020 @ 14:00:34.396",7,"Integrity checksum changed.",,,"File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\VolatileUserMgrKey\1\S-1-5-21-438079597-2123118846-2669748851-1001' checksum changed.
Old md5sum was: '89598d32459256342f73e9b832b618dc'
New md5sum is : '2fc71ce4c081663302e1c9fa9f610388'
Old sha1sum was: '68aacf23a86d664018607a7fc5d1379269af8643'
New sha1sum is : '57a5eef25dac857d9b917e1964c7aeb308358411'
"
"May 23, 2020 @ 13:59:58.520",7,"Integrity checksum changed.",,,"File 'HKEY_LOCAL_MACHINE\Software\Microsoft\Internet Explorer' checksum changed.
Old md5sum was: 'd41d8cd98f00b204e9800998ecf8427e'
New md5sum is : '497a8c7081c737f07c267a30b1538ff9'
Old sha1sum was: 'da39a3ee5e6b4b0d3255bfef95601890afd80709'
New sha1sum is : '58d9cdbd07af978efc5e91b8e7a66696280d3b1e'
"
"May 23, 2020 @ 13:59:37.018",14,"ATT&CK T1060: Suspicious RUN Key from Download","""Registry value set:
RuleName: T1060,RunKey
EventType: SetValue
UtcTime: 2020-05-23 13:59:30.192
ProcessGuid: {df9fc3d3-2c3b-5ec9-0000-00100b730a00}
ProcessId: 6640
Image: C:\Users\John Williams\Downloads\program20.jpg.exe
TargetObject: HKU\S-1-5-21-438079597-2123118846-2669748851-1001\Software\Microsoft\Windows\CurrentVersion\Run\hetsm.exe
Details: C:\Users\John Williams\Downloads\program20.jpg.exe""",,"{""win"":{""system"":{""providerName"":""Microsoft-Windows-Sysmon"",""providerGuid"":""{5770385f-c22a-43e0-bf4c-06f5698ffbd9}"",""eventID"":""13"",""version"":""2"",""level"":""4"",""task"":""13"",""opcode"":""0"",""keywords"":""0x8000000000000000"",""systemTime"":""2020-05-23T13:59:30.201635300Z"",""eventRecordID"":""1364"",""processID"":""2176"",""threadID"":""3152"",""channel"":""Microsoft-Windows-Sysmon/Operational"",""computer"":""DESKTOP-HUE026H"",""severityValue"":""INFORMATION"",""message"":""\""Registry value set:\r\nRuleName: T1060,RunKey\r\nEventType: SetValue\r\nUtcTime: 2020-05-23 13:59:30.192\r\nProcessGuid: {df9fc3d3-2c3b-5ec9-0000-00100b730a00}\r\nProcessId: 6640\r\nImage: C:\\Users\\John Williams\\Downloads\\program20.jpg.exe\r\nTargetObject: HKU\\S-1-5-21-438079597-2123118846-2669748851-1001\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\hetsm.exe\r\nDetails: C:\\Users\\John Williams\\Downloads\\program20.jpg.exe\""""},""eventdata"":{""ruleName"":""T1060,RunKey"",""eventType"":""SetValue"",""utcTime"":""2020-05-23 13:59:30.192"",""processGuid"":""{df9fc3d3-2c3b-5ec9-0000-00100b730a00}"",""processId"":""6640"",""image"":""C:\\\\Users\\\\John Williams\\\\Downloads\\\\program20.jpg.exe"",""targetObject"":""HKU\\\\S-1-5-21-438079597-2123118846-2669748851-1001\\\\Software\\\\Microsoft\\\\Windows\\\\CurrentVersion\\\\Run\\\\hetsm.exe"",""details"":""C:\\\\Users\\\\John Williams\\\\Downloads\\\\program20.jpg.exe""}}}"
"May 23, 2020 @ 13:59:05.260",9,"Benchmark for Windows audit: Ensure 'MSS: (AutoAdminLogon) Enable Automatic Logon (not recommended)' is set to 'Disabled': Status changed from 'not applicable' to failed",,,
"May 23, 2020 @ 13:58:55.522",7,"SessionEnv was unavailable to handle a critical notification event","""The winlogon notification subscriber <SessionEnv> was unavailable to handle a critical notification event.""",,
"May 23, 2020 @ 13:58:18.909",7,"Integrity checksum changed.",,,"File 'HKEY_LOCAL_MACHINE\Software\Microsoft\Internet Explorer' checksum changed.
Old md5sum was: '497a8c7081c737f07c267a30b1538ff9'
New md5sum is : 'd41d8cd98f00b204e9800998ecf8427e'
Old sha1sum was: '58d9cdbd07af978efc5e91b8e7a66696280d3b1e'
New sha1sum is : 'da39a3ee5e6b4b0d3255bfef95601890afd80709'
"
"May 23, 2020 @ 13:55:21.757",7,"Integrity checksum changed.",,,"File 'HKEY_LOCAL_MACHINE\Security\Policy\PolAdtEv' checksum changed.
Old md5sum was: '9d15aff4d26f802c3c4d3d74a00d8d4d'
New md5sum is : 'b40de87500ee3eed90c2ce3ce8c7946f'
Old sha1sum was: '11f3afa3902d0fadfcc52e4c051995f536c7d4e2'
New sha1sum is : '2f6e6dd0efd148b1c11d33c91e9cea4a97a84792'
"
"May 23, 2020 @ 13:54:03.217",8,"Windows Audit Policy changed","""System audit policy was changed.

Subject:
	Security ID:		S-1-5-18
	Account Name:		DESKTOP-HUE026H$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

Audit Policy Change:
	Category:		Object Access
	Subcategory:		Handle Manipulation
	Subcategory GUID:	{0cce9223-69ae-11d9-bed3-505054503030}
	Changes:		Success Added""",,
