timestamp,"rule.level","rule.description","full_log","data.win.system.message"
"Apr 24, 2020 @ 13:13:36.184",7,"Integrity checksum changed.","File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon' checksum changed.
Old md5sum was: 'cf3754ae4c53bb01ca8f4706679eb2c1'
New md5sum is : '185d612f78fce1526ce008c1931abcc6'
Old sha1sum was: 'e6b6ed8af81664d49dc704d5d1fe570c44b0494f'
New sha1sum is : '7a7004354744dcd7886dc8307a1634cc3a0e059c'
",
"Apr 24, 2020 @ 13:13:36.169",7,"Integrity checksum changed.","File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\VolatileUserMgrKey\1\S-1-5-21-438079597-2123118846-2669748851-1001' checksum changed.
Old md5sum was: '6484aaf5ea7798f1bf32f0804fa1d0bb'
New md5sum is : '100ead94668944d84b2a1144423fcb73'
Old sha1sum was: 'fc8cbbf8be08cb003f070ba6949ee1944ad70d2d'
New sha1sum is : '455e697a971d8f61c574214108cb1d5263461398'
",
"Apr 24, 2020 @ 13:13:34.825",7,"Integrity checksum changed.","File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Windows' checksum changed.
Old md5sum was: '49574a9da5b73510ecb8125c7786d037'
New md5sum is : '4d6e359f48b4d661879fa30d266022bd'
Old sha1sum was: 'fc3c9a4be6b806a974693af1dc528845db7631da'
New sha1sum is : '36dbf8e97699b0ca2ccc6e1503bfdfbfc3494986'
",
"Apr 24, 2020 @ 13:13:32.732",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WpnUserService_69cbe' was added.
",
"Apr 24, 2020 @ 13:13:32.716",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WpnUserService_69cbe\Security' was added.
",
"Apr 24, 2020 @ 13:13:25.685",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits' checksum changed.
Old md5sum was: 'f3f5f5fdd6f39cf62e69610c4b6eeae1'
New md5sum is : '29f6279048392e596b289f171bfe2117'
Old sha1sum was: '260824863a974bdbdbfd3edb7f0e7b125a50d50d'
New sha1sum is : 'fb61655b893457d5b89950bcb8e574fb0c2b2ee0'
",
"Apr 24, 2020 @ 13:13:25.670",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits\RunTime' checksum changed.
Old md5sum was: '1ae2be33276cc123ae315374ecb4bbdb'
New md5sum is : '6802c32dd7e97c204d9b4a5103edb8fd'
Old sha1sum was: '70a0b632322092d49ef0d93a8084c6c74562b3dd'
New sha1sum is : 'a3026a7f639946e032b0592d9980b64bf802ba17'
",
"Apr 24, 2020 @ 13:13:25.013",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\VSS\Diag\VolSnap' checksum changed.
Old md5sum was: 'ee77ddbee1ed560d6b349650e8349414'
New md5sum is : '711af8bef5843e2b181a65e02f7ec4e7'
Old sha1sum was: '6c5f559746b6a7a4faf287183a528aa3790a9772'
New sha1sum is : '38360c17547cafecdf62b6be07a2e1aff8bca9dd'
",
"Apr 24, 2020 @ 13:13:21.170",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\UserDataSvc_69cbe' was added.
",
"Apr 24, 2020 @ 13:13:21.153",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\UserDataSvc_69cbe\Security' was added.
",
"Apr 24, 2020 @ 13:13:19.997",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\UnistoreSvc_69cbe' was added.
",
