timestamp,"rule.level","rule.description","data.win.system.message","data.win.eventdata.commandLine","full_log"
"May 24, 2020 @ 13:35:49.671",7,"Integrity checksum changed.",,,"File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Active Setup\Installed Components\{8A69D345-D564-463c-AFF1-A69D9E530F96}' checksum changed.
Old md5sum was: '271f59daf9ca28fbeb0bd234897e1662'
New md5sum is : '7fa7290c3b0e7b2d8ed5a092299db356'
Old sha1sum was: 'e8d6ecabf76ed97cd87dc8593f64cd69ec8ec7a2'
New sha1sum is : '27735fff26a4f9093576dfbd77d06599094d3497'
"
"May 24, 2020 @ 13:35:48.592",7,"Integrity checksum changed.",,,"File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon' checksum changed.
Old md5sum was: '496e80acc19637c8daf8c286b6ea10f0'
New md5sum is : '8535e71303cbabe6816cd4f197652bc8'
Old sha1sum was: '88ef9e17f6f18f6242bf8a46b383b017d42012b9'
New sha1sum is : '46940de4369c12b1d1c24136f4fe3108925e9678'
"
"May 24, 2020 @ 13:35:48.576",7,"Integrity checksum changed.",,,"File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\VolatileUserMgrKey\1\S-1-5-21-438079597-2123118846-2669748851-1001' checksum changed.
Old md5sum was: '89598d32459256342f73e9b832b618dc'
New md5sum is : 'be8a4b502546da3087f02371f0f02c17'
Old sha1sum was: '68aacf23a86d664018607a7fc5d1379269af8643'
New sha1sum is : 'bd49702c05c290aaa23685f3c33157cdf7b4ee52'
"
"May 24, 2020 @ 13:35:12.904",7,"Integrity checksum changed.",,,"File 'HKEY_LOCAL_MACHINE\Software\Microsoft\Internet Explorer' checksum changed.
Old md5sum was: 'd41d8cd98f00b204e9800998ecf8427e'
New md5sum is : '497a8c7081c737f07c267a30b1538ff9'
Old sha1sum was: 'da39a3ee5e6b4b0d3255bfef95601890afd80709'
New sha1sum is : '58d9cdbd07af978efc5e91b8e7a66696280d3b1e'
"
"May 24, 2020 @ 13:35:02.451",7,"Integrity checksum changed.",,,"File 'HKEY_LOCAL_MACHINE\Software\Microsoft\Internet Explorer\ActiveX Compatibility' checksum changed.
Old md5sum was: 'd41d8cd98f00b204e9800998ecf8427e'
New md5sum is : '44a185f2e5e0fa09edbcbe3e598fe4da'
Old sha1sum was: 'da39a3ee5e6b4b0d3255bfef95601890afd80709'
New sha1sum is : 'f7a3cf6aa04ebaeee3c4525064299cb2136e4f06'
"
"May 24, 2020 @ 13:34:21.640",9,"Benchmark for Windows audit: Ensure 'MSS: (AutoAdminLogon) Enable Automatic Logon (not recommended)' is set to 'Disabled': Status changed from 'not applicable' to failed",,,
"May 24, 2020 @ 13:34:14.404",7,"SessionEnv was unavailable to handle a critical notification event","""The winlogon notification subscriber <SessionEnv> was unavailable to handle a critical notification event.""",,
"May 24, 2020 @ 13:33:28.276",7,"Integrity checksum changed.",,,"File 'HKEY_LOCAL_MACHINE\Software\Microsoft\Internet Explorer' checksum changed.
Old md5sum was: '497a8c7081c737f07c267a30b1538ff9'
New md5sum is : 'd41d8cd98f00b204e9800998ecf8427e'
Old sha1sum was: '58d9cdbd07af978efc5e91b8e7a66696280d3b1e'
New sha1sum is : 'da39a3ee5e6b4b0d3255bfef95601890afd80709'
"
"May 24, 2020 @ 13:33:28.258",7,"Integrity checksum changed.",,,"File 'HKEY_LOCAL_MACHINE\Software\Microsoft\Internet Explorer\ActiveX Compatibility' checksum changed.
Old md5sum was: '44a185f2e5e0fa09edbcbe3e598fe4da'
New md5sum is : 'd41d8cd98f00b204e9800998ecf8427e'
Old sha1sum was: 'f7a3cf6aa04ebaeee3c4525064299cb2136e4f06'
New sha1sum is : 'da39a3ee5e6b4b0d3255bfef95601890afd80709'
"
"May 24, 2020 @ 13:30:39.703",10,"Multiple Windows error events","""Id = {00000000-0000-0000-0000-000000000000}; ClientMachine = DESKTOP-HUE026H; User = NT AUTHORITY\SYSTEM; ClientProcessId = 6192; Component = Unknown; Operation = Start IWbemServices::ExecQuery - ROOT\WMI : SELECT * FROM BatteryFullChargedCapacity; ResultCode = 0x80041010; PossibleCause = Unknown""",,
"May 24, 2020 @ 13:28:02.455",7,"Integrity checksum changed.",,,"File 'HKEY_LOCAL_MACHINE\Security\Policy\PolAdtEv' checksum changed.
Old md5sum was: '9d15aff4d26f802c3c4d3d74a00d8d4d'
New md5sum is : 'b40de87500ee3eed90c2ce3ce8c7946f'
Old sha1sum was: '11f3afa3902d0fadfcc52e4c051995f536c7d4e2'
New sha1sum is : '2f6e6dd0efd148b1c11d33c91e9cea4a97a84792'
"
