timestamp,"rule.level","rule.description","data.win.system.message","data.win.eventdata.commandLine","data.win.eventdata.targetObject","full_log","data.win.eventdata.details"
"May 29, 2020 @ 12:36:09.900",7,"Integrity checksum changed.",,,,"File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Active Setup\Installed Components\{8A69D345-D564-463c-AFF1-A69D9E530F96}' checksum changed.
Old md5sum was: '7fa7290c3b0e7b2d8ed5a092299db356'
New md5sum is : '7b0e21ee99623454e8d06871f064ed98'
Old sha1sum was: '27735fff26a4f9093576dfbd77d06599094d3497'
New sha1sum is : 'f63735bbc2e72216030f4e994b7c9785856a9170'
",
"May 29, 2020 @ 12:33:43.257",7,"Integrity checksum changed.",,,,"File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Active Setup\Installed Components\{8A69D345-D564-463c-AFF1-A69D9E530F96}' checksum changed.
Old md5sum was: '7b0e21ee99623454e8d06871f064ed98'
New md5sum is : '7fa7290c3b0e7b2d8ed5a092299db356'
Old sha1sum was: 'f63735bbc2e72216030f4e994b7c9785856a9170'
New sha1sum is : '27735fff26a4f9093576dfbd77d06599094d3497'
",
"May 29, 2020 @ 12:33:42.148",7,"Integrity checksum changed.",,,,"File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon' checksum changed.
Old md5sum was: 'effa08da348bc457b14fdae2511923be'
New md5sum is : '2cf3ce4970fb25f9237c226b8de91a23'
Old sha1sum was: '0e5b3fad93a467a9f52ed5c88f5f2975b03c4f79'
New sha1sum is : '8f5edce88e798c3b3085f743cc79f804540ea6ae'
",
"May 29, 2020 @ 12:33:42.132",7,"Integrity checksum changed.",,,,"File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\VolatileUserMgrKey\1\S-1-5-21-438079597-2123118846-2669748851-1001' checksum changed.
Old md5sum was: '100f9ce3de480fe478e2a23a5dd9b2b0'
New md5sum is : '758365bbcd458b2a523c7ab4132c04af'
Old sha1sum was: '2d38ff662d86bec02f7b2458b2d25c471e39ee66'
New sha1sum is : '691b9f4c6de22a25538af85b815563825e93ed4f'
",
"May 29, 2020 @ 12:33:37.788",7,"Integrity checksum changed.",,,,"File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Internet Explorer' checksum changed.
Old md5sum was: 'd41d8cd98f00b204e9800998ecf8427e'
New md5sum is : '497a8c7081c737f07c267a30b1538ff9'
Old sha1sum was: 'da39a3ee5e6b4b0d3255bfef95601890afd80709'
New sha1sum is : '58d9cdbd07af978efc5e91b8e7a66696280d3b1e'
",
"May 29, 2020 @ 12:33:35.539",7,"Integrity checksum changed.",,,,"File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_USE_WINDOWEDSELECTCONTROL' checksum changed.
Old md5sum was: '370914f65a755a1cbfcf0c873b11feaa'
New md5sum is : '1c729912f87f9abbd1574176fc5996f7'
Old sha1sum was: 'ea4c2f8e1a1dc5de73a98dbadb5abff9297c9a4b'
New sha1sum is : '1d2094dc263dc3db258f4421536e179cfbd9cfb0'
",
"May 29, 2020 @ 12:33:25.944",7,"Integrity checksum changed.",,,,"File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Internet Explorer\ActiveX Compatibility' checksum changed.
Old md5sum was: 'd41d8cd98f00b204e9800998ecf8427e'
New md5sum is : '44a185f2e5e0fa09edbcbe3e598fe4da'
Old sha1sum was: 'da39a3ee5e6b4b0d3255bfef95601890afd80709'
New sha1sum is : 'f7a3cf6aa04ebaeee3c4525064299cb2136e4f06'
",
"May 29, 2020 @ 12:32:12.827",9,"Benchmark for Windows audit: Ensure 'MSS: (AutoAdminLogon) Enable Automatic Logon (not recommended)' is set to 'Disabled': Status changed from 'not applicable' to failed",,,,,
"May 29, 2020 @ 12:32:03.697",7,"SessionEnv was unavailable to handle a critical notification event","""The winlogon notification subscriber <SessionEnv> was unavailable to handle a critical notification event.""",,,,
"May 29, 2020 @ 12:31:21.935",7,"Integrity checksum changed.",,,,"File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Internet Explorer' checksum changed.
Old md5sum was: '497a8c7081c737f07c267a30b1538ff9'
New md5sum is : 'd41d8cd98f00b204e9800998ecf8427e'
Old sha1sum was: '58d9cdbd07af978efc5e91b8e7a66696280d3b1e'
New sha1sum is : 'da39a3ee5e6b4b0d3255bfef95601890afd80709'
",
"May 29, 2020 @ 12:31:21.918",7,"Integrity checksum changed.",,,,"File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Internet Explorer\ActiveX Compatibility' checksum changed.
Old md5sum was: '44a185f2e5e0fa09edbcbe3e598fe4da'
New md5sum is : 'd41d8cd98f00b204e9800998ecf8427e'
Old sha1sum was: 'f7a3cf6aa04ebaeee3c4525064299cb2136e4f06'
New sha1sum is : 'da39a3ee5e6b4b0d3255bfef95601890afd80709'
",
"May 29, 2020 @ 12:29:42.808",10,"Multiple Windows error events","""Id = {00000000-0000-0000-0000-000000000000}; ClientMachine = DESKTOP-HUE026H; User = DESKTOP-HUE026H\John Williams; ClientProcessId = 3352; Component = Unknown; Operation = Start IWbemServices::ExecQuery - ROOT\CIMV2 : SELECT * FROM Win32_PhysicalMemory WHERE Tag='Physical Memory 0'; ResultCode = 0x80041032; PossibleCause = Unknown""",,,,
"May 29, 2020 @ 12:29:22.611",15,"ATT&CK T1204: Maze Ransomware","""Process Create:
RuleName: 
UtcTime: 2020-05-28 12:50:15.487
ProcessGuid: {df9fc3d3-b387-5ecf-0000-0010452c2100}
ProcessId: 3848
Image: C:\Windows\SysWOW64\wbem\WMIC.exe
FileVersion: 10.0.18362.1 (WinBuild.160101.0800)
Description: WMI Commandline Utility
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: wmic.exe
CommandLine: ""C:\Windows\system32\wbem\wmic.exe"" shadowcopy delete
CurrentDirectory: C:\Users\John Williams\Downloads\
User: DESKTOP-HUE026H\John Williams
LogonGuid: {df9fc3d3-b279-5ecf-0000-0020fd750300}
LogonId: 0x375FD
TerminalSessionId: 1
IntegrityLevel: Medium
Hashes: MD5=F86F3CA37E51F7A6BD352C3A0471ED1E,SHA256=A6ACB58967159648C84D67B06DC6511A9A831386742B4F1F96B0A19AFC8B8037,IMPHASH=C5BFFECCAB78B6F4FD77B28F6F297D84
ParentProcessGuid: {df9fc3d3-b34b-5ecf-0000-00105d221600}
ParentProcessId: 4872
ParentImage: C:\Users\John Williams\AppData\Local\Temp\gft.exe
ParentCommandLine: ""C:\Users\John Williams\AppData\Local\Temp\gft.exe"" ""","\""C:\\Windows\\system32\\wbem\\wmic.exe\"" shadowcopy delete",,"{""win"":{""system"":{""providerName"":""Microsoft-Windows-Sysmon"",""providerGuid"":""{5770385f-c22a-43e0-bf4c-06f5698ffbd9}"",""eventID"":""1"",""version"":""5"",""level"":""4"",""task"":""1"",""opcode"":""0"",""keywords"":""0x8000000000000000"",""systemTime"":""2020-05-28T12:50:15.498253700Z"",""eventRecordID"":""2079"",""processID"":""2260"",""threadID"":""3256"",""channel"":""Microsoft-Windows-Sysmon/Operational"",""computer"":""DESKTOP-HUE026H"",""severityValue"":""INFORMATION"",""message"":""\""Process Create:\r\nRuleName: \r\nUtcTime: 2020-05-28 12:50:15.487\r\nProcessGuid: {df9fc3d3-b387-5ecf-0000-0010452c2100}\r\nProcessId: 3848\r\nImage: C:\\Windows\\SysWOW64\\wbem\\WMIC.exe\r\nFileVersion: 10.0.18362.1 (WinBuild.160101.0800)\r\nDescription: WMI Commandline Utility\r\nProduct: Microsoft® Windows® Operating System\r\nCompany: Microsoft Corporation\r\nOriginalFileName: wmic.exe\r\nCommandLine: \""C:\\Windows\\system32\\wbem\\wmic.exe\"" shadowcopy delete\r\nCurrentDirectory: C:\\Users\\John Williams\\Downloads\\\r\nUser: DESKTOP-HUE026H\\John Williams\r\nLogonGuid: {df9fc3d3-b279-5ecf-0000-0020fd750300}\r\nLogonId: 0x375FD\r\nTerminalSessionId: 1\r\nIntegrityLevel: Medium\r\nHashes: MD5=F86F3CA37E51F7A6BD352C3A0471ED1E,SHA256=A6ACB58967159648C84D67B06DC6511A9A831386742B4F1F96B0A19AFC8B8037,IMPHASH=C5BFFECCAB78B6F4FD77B28F6F297D84\r\nParentProcessGuid: {df9fc3d3-b34b-5ecf-0000-00105d221600}\r\nParentProcessId: 4872\r\nParentImage: C:\\Users\\John Williams\\AppData\\Local\\Temp\\gft.exe\r\nParentCommandLine: \""C:\\Users\\John Williams\\AppData\\Local\\Temp\\gft.exe\"" \""""},""eventdata"":{""utcTime"":""2020-05-28 12:50:15.487"",""processGuid"":""{df9fc3d3-b387-5ecf-0000-0010452c2100}"",""processId"":""3848"",""image"":""C:\\\\Windows\\\\SysWOW64\\\\wbem\\\\WMIC.exe"",""fileVersion"":""10.0.18362.1 (WinBuild.160101.0800)"",""description"":""WMI Commandline Utility"",""product"":""Microsoft® Windows® Operating System"",""company"":""Microsoft Corporation"",""originalFileName"":""wmic.exe"",""commandLine"":""\\\""C:\\\\Windows\\\\system32\\\\wbem\\\\wmic.exe\\\"" shadowcopy delete"",""currentDirectory"":""C:\\\\Users\\\\John Williams\\\\Downloads\\\\"",""user"":""DESKTOP-HUE026H\\\\John Williams"",""logonGuid"":""{df9fc3d3-b279-5ecf-0000-0020fd750300}"",""logonId"":""0x375fd"",""terminalSessionId"":""1"",""integrityLevel"":""Medium"",""hashes"":""MD5=F86F3CA37E51F7A6BD352C3A0471ED1E,SHA256=A6ACB58967159648C84D67B06DC6511A9A831386742B4F1F96B0A19AFC8B8037,IMPHASH=C5BFFECCAB78B6F4FD77B28F6F297D84"",""parentProcessGuid"":""{df9fc3d3-b34b-5ecf-0000-00105d221600}"",""parentProcessId"":""4872"",""parentImage"":""C:\\\\Users\\\\John Williams\\\\AppData\\\\Local\\\\Temp\\\\gft.exe"",""parentCommandLine"":""\\\""C:\\\\Users\\\\John Williams\\\\AppData\\\\Local\\\\Temp\\\\gft.exe\\\""""}}}",
