timestamp,"rule.level","rule.description","full_log","data.win.system.message"
"Apr 24, 2020 @ 12:42:32.738",5,"The VSS service is shutting down due to idle timeout",,"""The VSS service is shutting down due to idle timeout. """
"Apr 24, 2020 @ 12:42:31.064",3,"Software Protection service scheduled successfully",,"""Successfully scheduled Software Protection service for re-start at 2020-04-25T12:32:28Z. Reason: RulesEngine."""
"Apr 24, 2020 @ 12:41:45.658",3,"Service startup type was changed",,"""The start type of the Windows Modules Installer service was changed from demand start to auto start."""
"Apr 24, 2020 @ 12:41:45.644",3,"Service startup type was changed",,"""The start type of the Windows Modules Installer service was changed from auto start to demand start."""
"Apr 24, 2020 @ 12:41:10.392",3,"Windows Logon Success",,"""An account was successfully logged on.

Subject:
	Security ID:		S-1-5-18
	Account Name:		DESKTOP-HUE026H$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

Logon Information:
	Logon Type:		5
	Restricted Admin Mode:	-
	Virtual Account:		No
	Elevated Token:		Yes

Impersonation Level:		Impersonation

New Logon:
	Security ID:		S-1-5-18
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3E7
	Linked Logon ID:		0x0
	Network Account Name:	-
	Network Account Domain:	-
	Logon GUID:		{00000000-0000-0000-0000-000000000000}

Process Information:
	Process ID:		0x24c
	Process Name:		C:\Windows\System32\services.exe

Network Information:
	Workstation Name:	-
	Source Network Address:	-
	Source Port:		-

Detailed Authentication Information:
	Logon Process:		Advapi  
	Authentication Package:	Negotiate
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested."""
"Apr 24, 2020 @ 12:39:59.594",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits' checksum changed.
Old md5sum was: 'ee41f99b03a77f3c189e5f458a2e0eff'
New md5sum is : '43e0f4d6dc1809edc58cbf8b28b327b4'
Old sha1sum was: 'd913a7cb81a63d409ab5ab6f958256b230345c64'
New sha1sum is : '43c975d8c59b4fde5f23a7255157fa4c078d258e'
",
"Apr 24, 2020 @ 12:39:59.578",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits\RunTime' checksum changed.
Old md5sum was: '304055d1dd3ac64413cbdc3e4618dc79'
New md5sum is : '3637a2390d483d94ade709712c01636c'
Old sha1sum was: '8711dfbf248032c28bd322e9c598e25a7019f2af'
New sha1sum is : 'bb81cae0ed1a0d8b5efce8411b122fd1ab66d54e'
",
"Apr 24, 2020 @ 12:39:51.816",3,"Service startup type was changed",,"""The start type of the Windows Modules Installer service was changed from demand start to auto start."""
"Apr 24, 2020 @ 12:39:40.592",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules' checksum changed.
Old md5sum was: '5689c2dd6ed61a04cc389b6099c0aea5'
New md5sum is : '113b4cbed5989a54d95116790d0033a9'
Old sha1sum was: '64932df77c40a56e97edb3553ce359b3aaff132e'
New sha1sum is : 'bf6ddfd7385195419d1e1eeb16a780441e9e0acc'
",
"Apr 24, 2020 @ 12:39:40.264",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\SharedAccess\Epoch' checksum changed.
Old md5sum was: '5b91e535422785d7409df5362ceec530'
New md5sum is : '0447d0d52ee5a830c05fbee07043f258'
Old sha1sum was: '4e27ba555e6d427aef066e320154eafec1fd64e2'
New sha1sum is : 'c52421ca8edc9b41a95e22c437b67f0f199f288a'
",
