timestamp,"rule.level","rule.description","data.win.system.message","full_log","data.win.eventdata.commandLine"
"May 22, 2020 @ 16:11:50.652",7,"Integrity checksum changed.",,"File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon' checksum changed.
Old md5sum was: '496e80acc19637c8daf8c286b6ea10f0'
New md5sum is : '8bd1d574020364cb73c94def0fb5afce'
Old sha1sum was: '88ef9e17f6f18f6242bf8a46b383b017d42012b9'
New sha1sum is : '1ae6bc9b8cc2b6e85d7130b80fbc843b783b1f11'
",
"May 22, 2020 @ 16:11:50.636",7,"Integrity checksum changed.",,"File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\VolatileUserMgrKey\1\S-1-5-21-438079597-2123118846-2669748851-1001' checksum changed.
Old md5sum was: '89598d32459256342f73e9b832b618dc'
New md5sum is : '92eeaba3a494969a7bbeaf8cd573d02f'
Old sha1sum was: '68aacf23a86d664018607a7fc5d1379269af8643'
New sha1sum is : 'd8d3ae51554b01731209ca4829f6aa7188d111a3'
",
"May 22, 2020 @ 16:10:23.610",9,"Benchmark for Windows audit: Ensure 'MSS: (AutoAdminLogon) Enable Automatic Logon (not recommended)' is set to 'Disabled': Status changed from 'not applicable' to failed",,,
"May 22, 2020 @ 16:10:15.446",7,"SessionEnv was unavailable to handle a critical notification event","""The winlogon notification subscriber <SessionEnv> was unavailable to handle a critical notification event.""",,
"May 22, 2020 @ 16:06:11.420",7,"Integrity checksum changed.",,"File 'HKEY_LOCAL_MACHINE\Security\Policy\PolAdtEv' checksum changed.
Old md5sum was: '9d15aff4d26f802c3c4d3d74a00d8d4d'
New md5sum is : 'b40de87500ee3eed90c2ce3ce8c7946f'
Old sha1sum was: '11f3afa3902d0fadfcc52e4c051995f536c7d4e2'
New sha1sum is : '2f6e6dd0efd148b1c11d33c91e9cea4a97a84792'
",
"May 22, 2020 @ 16:04:54.485",8,"Windows Audit Policy changed","""System audit policy was changed.

Subject:
	Security ID:		S-1-5-18
	Account Name:		DESKTOP-HUE026H$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

Audit Policy Change:
	Category:		Object Access
	Subcategory:		Handle Manipulation
	Subcategory GUID:	{0cce9223-69ae-11d9-bed3-505054503030}
	Changes:		Success Added""",,
"May 22, 2020 @ 16:04:54.407",8,"Windows Audit Policy changed","""System audit policy was changed.

Subject:
	Security ID:		S-1-5-18
	Account Name:		DESKTOP-HUE026H$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

Audit Policy Change:
	Category:		Object Access
	Subcategory:		File System
	Subcategory GUID:	{0cce921d-69ae-11d9-bed3-505054503030}
	Changes:		Success Added""",,
"May 22, 2020 @ 16:04:45.812",7,"Integrity checksum changed.",,"File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon' checksum changed.
Old md5sum was: '05688d3fb01c8753b031688cb1be8a9a'
New md5sum is : '496e80acc19637c8daf8c286b6ea10f0'
Old sha1sum was: '07d2e2efcc0eef4f0950f87eb46ce7cb7d621014'
New sha1sum is : '88ef9e17f6f18f6242bf8a46b383b017d42012b9'
",
"May 22, 2020 @ 16:04:45.797",7,"Integrity checksum changed.",,"File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\VolatileUserMgrKey\1\S-1-5-21-438079597-2123118846-2669748851-1001' checksum changed.
Old md5sum was: 'b9b17232ab989d43145b713d83b31e56'
New md5sum is : '89598d32459256342f73e9b832b618dc'
Old sha1sum was: '59a9b4d3dd2bb5573d31e1aff08c6d38bf7d7d43'
New sha1sum is : '68aacf23a86d664018607a7fc5d1379269af8643'
",
"May 22, 2020 @ 16:04:41.048",7,"Integrity checksum changed.",,"File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_USE_WINDOWEDSELECTCONTROL' checksum changed.
Old md5sum was: '370914f65a755a1cbfcf0c873b11feaa'
New md5sum is : '1c729912f87f9abbd1574176fc5996f7'
Old sha1sum was: 'ea4c2f8e1a1dc5de73a98dbadb5abff9297c9a4b'
New sha1sum is : '1d2094dc263dc3db258f4421536e179cfbd9cfb0'
",
