timestamp,"rule.level","rule.description","full_log","data.win.system.message"
"Apr 26, 2020 @ 10:57:36.039",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\OneSyncSvc_3f520' was added.
",
"Apr 26, 2020 @ 10:57:36.009",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\OneSyncSvc_3f520\Security' was added.
",
"Apr 26, 2020 @ 10:57:33.258",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\NdisVirtualBus\Parameters\Wdf' checksum changed.
Old md5sum was: 'ed88c4f4720f9ee85957abb94f304681'
New md5sum is : 'bab7f7a65fdaacd4e6b8b6a5061897a9'
Old sha1sum was: 'dfbfadf824ea326343b7e38b3f7914f74c482b0b'
New sha1sum is : '996a854fff250b5a422ab1cf6a5fe4cf3919d15c'
",
"Apr 26, 2020 @ 10:57:31.492",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\msisadrv\Parameters\Wdf' checksum changed.
Old md5sum was: '13dc259f379d87b2e5309e0615660fbd'
New md5sum is : '5aa8e4546390bfdbf65b75d3999f7d27'
Old sha1sum was: '7b7640c8ae985ec313fc158f04c94160aed9ba62'
New sha1sum is : 'dfad5825e83ffedce47f82287e54c327bee0a9d2'
",
"Apr 26, 2020 @ 10:57:30.554",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\monitor\Parameters\Wdf' checksum changed.
Old md5sum was: '9a0e6860ed855c30f134fc56d8ebf295'
New md5sum is : 'b66ff1de44cede493d2d5ec9a100c22f'
Old sha1sum was: 'ed3b06cd890e72527d6a9facc45f47e75ca198c0'
New sha1sum is : '4f8301d8c419c2a62d84573ce68890a97ccf936f'
",
"Apr 26, 2020 @ 10:57:30.445",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\MessagingService_3f520' was added.
",
"Apr 26, 2020 @ 10:57:30.429",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\MessagingService_3f520\TriggerInfo\0' was added.
",
"Apr 26, 2020 @ 10:57:30.414",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\MessagingService_3f520\Security' was added.
",
"Apr 26, 2020 @ 10:57:26.258",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\LanmanServer\Parameters' checksum changed.
Old md5sum was: '4f6d055ae9421c6eaaea00278d045ee8'
New md5sum is : 'd3b8b23090d51db3cfe1e9ecd4bf3f60'
Old sha1sum was: '075a70943680f9d5268ab1301ec05918e7969062'
New sha1sum is : 'abb19fb282dc8a8540e74484ab4bef9e1719d561'
",
"Apr 26, 2020 @ 10:57:22.594",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\intelppm\Parameters\Wdf' checksum changed.
Old md5sum was: 'ed88c4f4720f9ee85957abb94f304681'
New md5sum is : 'bab7f7a65fdaacd4e6b8b6a5061897a9'
Old sha1sum was: 'dfbfadf824ea326343b7e38b3f7914f74c482b0b'
New sha1sum is : '996a854fff250b5a422ab1cf6a5fe4cf3919d15c'
",
"Apr 26, 2020 @ 10:57:19.882",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\HDAudBus\Parameters\Wdf' checksum changed.
Old md5sum was: 'd49b1e0e5d54f0f3afc8611036d44088'
New md5sum is : 'd6c66f3cfcf282def437343895ab3fa8'
Old sha1sum was: '67d1db6f9eb60c510bc959d4fed11edd37751205'
New sha1sum is : '1f15b20143ed74043de3a339b473192ac5b48b15'
",
"Apr 26, 2020 @ 10:57:19.226",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\gencounter\Parameters\Wdf' checksum changed.
Old md5sum was: 'ed88c4f4720f9ee85957abb94f304681'
New md5sum is : 'bab7f7a65fdaacd4e6b8b6a5061897a9'
Old sha1sum was: 'dfbfadf824ea326343b7e38b3f7914f74c482b0b'
New sha1sum is : '996a854fff250b5a422ab1cf6a5fe4cf3919d15c'
",
"Apr 26, 2020 @ 10:57:18.180",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\FDResPub\ServiceData' checksum changed.
Old md5sum was: '1c6e2319780c0264f929f3c3433add82'
New md5sum is : 'ae9643074ec7a4ef81bb63a482e527c9'
Old sha1sum was: 'f924403989ef2de336c156640b73fb0db5024306'
New sha1sum is : 'bb90e1460f2a74046f7b573529a69b9faa6b3a52'
",
